month,region,product,sales
Jul,West,Laptop,8390
Nov,West,Laptop,19283
Jul,South,Tablet,7426
Nov,West,Laptop,19390
Aug,West,Tablet,4919
May,South,Headphones,10446
Feb,West,Headphones,8007
Jan,West,Phone,8456
Dec,North,Laptop,17499
Nov,East,Phone,6813
Dec,West,Headphones,19497
Mar,West,Tablet,4053
Sep,East,Laptop,7579
Jul,North,Laptop,8393
Apr,North,Headphones,13253
Feb,South,Laptop,8936
May,South,Headphones,9696
Dec,East,Headphones,20622
Aug,East,Tablet,6459
Apr,South,Headphones,10555
Feb,South,Phone,11734
Oct,West,Phone,15230
Feb,South,Headphones,2686
Oct,South,Headphones,17440
Aug,South,Tablet,13090
Sep,South,Headphones,11981
Feb,East,Laptop,6703
Oct,North,Headphones,11197
Dec,North,Laptop,12414
Jan,North,Tablet,5011
Aug,North,Headphones,5979
Aug,East,Tablet,9048
Jan,West,Tablet,8002
Oct,East,Phone,11020
Dec,East,Laptop,9156
Jul,East,Phone,11996
Mar,West,Headphones,13266
Nov,East,Laptop,14998
Mar,North,Laptop,9865
Jul,East,Phone,12062
Nov,North,Tablet,10980
Oct,South,Headphones,5380
Mar,East,Headphones,5500
Jan,West,Laptop,8117
May,East,Tablet,10386
Nov,North,Headphones,13051
Jul,East,Tablet,6157
Dec,South,Phone,19183
Sep,North,Phone,7289
Apr,South,Phone,8450
Oct,East,Headphones,10310
Jul,South,Laptop,4306
Sep,West,Laptop,9750
Mar,East,Phone,8146
Nov,North,Phone,9109
Jan,East,Phone,3296
Nov,South,Headphones,6068
Sep,West,Laptop,5338
Jan,South,Headphones,3861
Jul,South,Tablet,10280
May,North,Headphones,15061
Nov,North,Phone,10444
Dec,South,Tablet,16746
Jan,North,Tablet,7424
May,West,Phone,9230
Jun,West,Tablet,8724
Jul,East,Headphones,7218
Jan,East,Phone,4794
May,West,Phone,3356
Jun,East,Tablet,10215
Jan,North,Headphones,6553
Jun,West,Laptop,14284
Apr,West,Tablet,9546
Oct,East,Tablet,13605
Apr,West,Tablet,4843
Sep,North,Headphones,9634
Jul,South,Headphones,7736
Nov,West,Laptop,12981
Feb,East,Tablet,6001
Oct,East,Tablet,11144
Oct,West,Laptop,17802
Jan,South,Laptop,7580
Dec,North,Laptop,15237
Sep,North,Tablet,14161
Mar,West,Headphones,8737
Aug,North,Headphones,4880
Aug,West,Phone,7558
Apr,South,Tablet,14375
Sep,East,Laptop,6557
Feb,South,Phone,12262
Sep,West,Laptop,9568
Jan,South,Laptop,7119
Apr,West,Headphones,4218
Jan,West,Laptop,12534
Dec,East,Tablet,9669
Jun,South,Phone,7079
Mar,South,Headphones,6036
Nov,South,Laptop,10655
Jan,West,Tablet,10935
Jan,North,Headphones,9896
Mar,West,Tablet,13596
Jan,West,Headphones,4684
May,South,Tablet,4263
Aug,North,Laptop,3466
May,East,Tablet,3883
Jan,West,Tablet,12142
May,West,Tablet,4393
Mar,West,Phone,4575
Oct,East,Phone,4282
Mar,West,Phone,6519
Feb,West,Tablet,11979
Jul,South,Tablet,3154
Oct,South,Phone,4540
Aug,North,Laptop,10860
Jul,North,Phone,5806
Oct,East,Phone,16376
Dec,South,Tablet,16488
Apr,North,Headphones,5368
Aug,West,Phone,7869
Dec,East,Tablet,18537
