month,region,product,sales
2024-04,South,Tablet,2399
2023-02,East,Tablet,1851
2024-05,West,Smartphone,4321
2023-11,South,Smartwatch,2757
2023-08,South,Smartphone,4075
2024-08,South,Headphones,2451
2023-03,East,Laptop,3199
2023-12,East,Headphones,1389
2024-08,East,Headphones,3223
2024-04,South,Laptop,2802
2024-02,East,Headphones,743
2024-04,North,Tablet,3005
2024-09,East,Laptop,4167
2024-05,West,Headphones,4163
2023-11,South,Tablet,4769
2024-05,South,Tablet,3022
2024-07,North,Smartwatch,2121
2024-10,East,Tablet,3724
2023-01,East,Smartphone,2970
2023-12,West,Laptop,3218
2024-03,North,Laptop,236
2024-06,West,Laptop,4325
2024-11,West,Headphones,1318
2024-02,South,Headphones,1117
2023-01,South,Smartphone,3800
2024-01,East,Tablet,4627
2024-03,East,Headphones,3240
2023-07,West,Tablet,3629
2024-03,East,Tablet,2687
2024-08,West,Headphones,2482
2023-10,East,Headphones,2705
2024-02,East,Smartphone,3187
2023-06,South,Smartwatch,3627
2024-02,South,Laptop,2657
2024-12,South,Headphones,308
2024-10,South,Headphones,3910
2023-12,North,Tablet,4253
2023-11,South,Smartwatch,2107
2024-08,North,Headphones,2963
2024-10,South,Smartwatch,3476
2024-12,East,Laptop,1468
2024-07,West,Tablet,3900
2023-02,East,Smartphone,1137
2024-10,East,Laptop,4572
2024-08,North,Smartwatch,2390
2023-01,South,Smartwatch,1092
2023-08,West,Laptop,3038
2024-02,West,Smartwatch,4610
2023-09,South,Smartphone,493
2023-02,North,Smartphone,3786
2024-11,North,Smartwatch,4924
2023-05,North,Smartwatch,457
2024-11,West,Smartphone,4104
2023-08,North,Smartwatch,1281
2024-04,North,Headphones,2165
2024-10,West,Tablet,4002
2024-04,West,Headphones,3518
2024-01,East,Smartwatch,3229
2024-08,West,Smartwatch,254
2024-03,South,Tablet,3658
2023-01,West,Smartwatch,1654
2024-10,West,Tablet,586
2023-03,North,Smartphone,1482
2023-06,East,Tablet,2515
2024-10,North,Tablet,1170
2024-02,East,Headphones,2354
2023-04,North,Smartwatch,1606
2024-06,South,Smartphone,1975
2024-03,North,Laptop,2290
2023-09,North,Tablet,1170
2024-06,South,Laptop,290
2023-03,South,Smartwatch,239
2023-10,West,Tablet,4810
2024-05,North,Laptop,4110
2023-07,South,Headphones,3511
2024-03,South,Laptop,3072
2023-01,West,Headphones,1614
2023-11,East,Smartphone,3220
2024-05,South,Smartwatch,4070
2023-05,South,Laptop,4819
2023-07,North,Tablet,3624
2024-07,West,Smartwatch,1445
2024-12,North,Laptop,4282
2024-03,East,Tablet,2017
