month,region,product,sales
2023-05,West,Tablet,4940
2024-03,East,Smartphone,651
2023-05,North,Smartwatch,3494
2023-12,West,Tablet,1276
2023-05,North,Tablet,4834
2024-05,East,Smartwatch,4432
2024-05,West,Laptop,1097
2024-12,East,Smartphone,4176
2023-12,East,Smartphone,2831
2024-12,North,Laptop,4037
2024-03,West,Smartwatch,4152
2024-03,East,Smartphone,472
2023-06,West,Smartwatch,2348
2023-12,North,Smartwatch,948
2024-08,East,Tablet,2656
2024-06,North,Laptop,2422
2024-02,West,Smartwatch,603
2023-02,West,Headphones,3289
2023-09,North,Laptop,802
2023-05,South,Smartphone,3725
2024-08,East,Tablet,414
2023-01,West,Smartphone,2476
2024-11,West,Smartphone,1140
2023-03,East,Laptop,4478
2023-06,North,Smartphone,3090
2023-05,North,Smartwatch,357
2024-09,North,Smartphone,674
2023-05,South,Tablet,4769
2023-01,South,Tablet,1652
2024-05,West,Headphones,4618
2024-07,North,Tablet,857
2024-02,East,Smartphone,2910
2023-12,West,Tablet,1204
2023-10,East,Laptop,4624
2024-08,West,Tablet,3559
2024-09,South,Smartwatch,4092
2024-06,West,Laptop,303
2024-12,South,Headphones,2875
2023-11,West,Smartwatch,2432
2023-02,North,Smartphone,2092
2024-06,East,Smartphone,2343
2023-07,North,Smartphone,406
2024-12,West,Smartwatch,1787
2024-03,West,Smartwatch,4209
2023-11,West,Smartwatch,1960
2024-06,South,Laptop,2061
2024-11,East,Laptop,822
2023-12,East,Smartphone,879
2023-06,West,Tablet,628
2024-08,West,Smartphone,4993
2024-11,South,Headphones,443
2024-01,North,Laptop,3886
2024-08,North,Smartwatch,3782
2024-04,East,Laptop,308
2024-06,South,Smartwatch,4836
2023-10,West,Headphones,3506
2024-11,East,Headphones,1411
2023-08,South,Laptop,2399
2024-06,North,Smartwatch,3436
2024-09,South,Headphones,2047
2023-01,North,Smartphone,1019
2024-11,South,Smartphone,2144
2023-08,East,Smartwatch,518
2023-06,North,Laptop,1849
2023-05,East,Headphones,2942
2024-03,East,Laptop,1199
2024-10,North,Smartphone,3492
2024-03,North,Headphones,2872
2023-02,West,Laptop,2580
2023-01,West,Tablet,1645
2024-11,West,Smartwatch,1170
2024-11,East,Smartwatch,1950
2023-11,East,Tablet,4298
2023-10,West,Smartphone,3039
2024-06,East,Headphones,2003
2024-06,East,Smartwatch,778
2024-05,North,Tablet,1088
2023-08,North,Tablet,2575
2024-03,East,Smartphone,1707
2023-08,West,Smartphone,2969
2024-05,South,Laptop,1602
2023-12,West,Smartwatch,1889
2023-08,South,Laptop,1525
2024-02,West,Tablet,2540
2023-04,North,Headphones,2142
2023-01,East,Headphones,1378
2023-01,East,Smartphone,2694
2024-07,North,Headphones,4789
2024-04,South,Headphones,2536
2024-02,South,Headphones,3903
2024-09,South,Tablet,2305
2024-04,North,Headphones,1127
2023-05,South,Headphones,3639
2023-09,North,Headphones,3583
2023-02,West,Laptop,2341
2024-06,West,Tablet,2865
2023-06,North,Smartphone,1273
2023-09,East,Laptop,3330
2023-01,West,Smartwatch,3450
2023-09,South,Tablet,503
2024-04,North,Tablet,2825
2024-01,South,Smartwatch,3482
2023-09,South,Smartwatch,4263
2024-09,East,Smartwatch,187
2024-01,South,Smartphone,1258
2023-09,East,Headphones,4373
2023-11,West,Tablet,2957
2023-04,North,Headphones,1481
2023-02,South,Headphones,4781
2023-06,North,Smartwatch,2164
2024-02,South,Smartphone,2474
2023-04,North,Laptop,417
2023-06,South,Smartphone,1602
2024-07,South,Headphones,2142
2023-06,South,Smartphone,4698
2023-02,South,Smartwatch,2122
2024-06,South,Laptop,218
2024-01,South,Smartwatch,809
2023-09,South,Laptop,3657
2024-11,South,Headphones,4240
2024-07,South,Laptop,4509
2024-01,North,Laptop,3350
2023-11,East,Laptop,517
2023-01,South,Smartphone,2703
2024-12,East,Smartphone,3954
2024-10,South,Headphones,1201
2023-07,South,Laptop,4521
2024-09,North,Tablet,3528
2024-03,West,Headphones,2361
2023-01,West,Laptop,4269
2023-12,North,Laptop,3734
2023-07,East,Smartphone,608
2024-03,West,Headphones,2479
2024-09,North,Laptop,3264
2024-07,North,Laptop,787
2023-01,West,Headphones,4852
2024-05,East,Tablet,1392
2024-05,North,Headphones,4005
2023-03,South,Headphones,3175
2023-12,East,Tablet,3309
2023-06,East,Headphones,424
2023-11,West,Laptop,2093
2023-03,West,Headphones,4076
2023-08,South,Tablet,4912
2024-02,North,Smartwatch,2870
2024-02,West,Headphones,4472
2023-10,West,Smartphone,2683
2023-02,East,Laptop,3657
2024-02,West,Laptop,3687
2023-09,West,Smartphone,251
2023-03,West,Smartphone,1054
2024-09,West,Headphones,4454
2023-08,East,Smartphone,2471
2024-04,South,Smartwatch,1291
2023-02,South,Tablet,787
2023-06,North,Smartphone,409
2024-09,West,Smartphone,1602
2023-12,East,Smartwatch,3227
2023-05,North,Laptop,4668
2023-02,North,Laptop,3467
2024-04,South,Headphones,3495
2023-05,East,Smartwatch,913
2024-03,East,Tablet,945
2023-12,East,Tablet,1264
2023-04,South,Smartwatch,4862
2024-03,South,Tablet,1867
2023-11,South,Laptop,454
2024-04,South,Tablet,1972
2024-11,South,Tablet,2124
2023-06,West,Smartwatch,2917
2024-02,West,Smartwatch,3932
2024-06,East,Tablet,4375
2023-12,North,Smartphone,165
2023-11,East,Smartwatch,4366
2024-01,North,Headphones,4190
2024-09,South,Headphones,2621
2024-11,North,Laptop,2681
2023-11,East,Tablet,1490
2024-11,East,Smartphone,1230
2024-04,North,Laptop,2586
2024-03,West,Tablet,934
2024-09,South,Smartwatch,326
2024-03,South,Headphones,3615
2023-04,East,Smartphone,4637
2023-11,West,Headphones,2543
2024-07,North,Smartwatch,827
2024-03,South,Tablet,3786
2023-04,West,Smartwatch,3722
2024-09,South,Smartwatch,1136
2024-01,West,Headphones,1932
2024-10,West,Smartphone,2840
2024-07,East,Smartwatch,592
2023-02,South,Headphones,1648
2024-02,North,Smartphone,1243
2023-04,East,Tablet,4057
2024-04,East,Tablet,3507
2024-09,North,Laptop,739
2024-08,East,Headphones,272
2024-02,West,Smartphone,4454
2024-03,West,Smartwatch,4059
2023-03,South,Tablet,616
2023-08,South,Smartphone,622
2024-04,North,Headphones,2017
2023-10,South,Laptop,2986
2023-04,West,Tablet,2264
2024-06,North,Smartphone,2029
2023-02,North,Smartphone,4045
2024-05,South,Smartphone,2309
2024-01,West,Headphones,3883
2023-04,North,Headphones,2690
2023-11,West,Headphones,4176
2023-07,West,Smartwatch,1193
2023-12,West,Smartphone,3980
2023-10,South,Tablet,2594
2023-07,East,Headphones,2679
2024-01,East,Headphones,2588
2023-07,North,Smartphone,2885
2024-12,West,Headphones,2858
2024-05,South,Smartwatch,1674
2023-10,West,Smartwatch,2473
2023-10,West,Headphones,4090
2024-12,South,Smartphone,4945
2023-04,East,Smartphone,1193
2024-08,West,Smartphone,1289
2023-04,West,Laptop,2789
2024-10,East,Headphones,4195
2023-07,South,Smartphone,1975
2024-10,North,Smartwatch,3506
2023-01,East,Tablet,1887
2023-12,North,Tablet,4032
2024-12,North,Smartphone,1707
2024-01,East,Tablet,3848
2023-10,West,Tablet,148
2024-03,North,Laptop,3961
2024-01,North,Smartwatch,2280
2024-11,South,Smartwatch,3146
2024-10,West,Laptop,2933
2024-10,North,Laptop,1497
2024-09,South,Tablet,3926
2024-10,West,Headphones,4674
2023-09,East,Tablet,931
